id,symbol,open,high,low,close,ltp,volume,delivery_qty,delivery_pct,total_buy_qty,total_sell_qty,timestamp,created_at
1,BHARTIARTL,1883.2,1922.9,1880.4,1883.5,1904.0,15807294,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
2,RELIANCE,1356.8,1364.8,1329.2,1361.8,1339.0,19976192,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
3,SBIN,971.2,972.5,957.0,979.9,961.6,26972493,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
4,INFY,1102.0,1133.2,1101.6,1095.0,1116.0,17482450,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
5,HDFCBANK,773.0,781.9,765.4,769.55,770.0,24347873,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
6,TMPV,352.0,366.95,352.0,338.75,356.15,51689818,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
7,ADANIENT,2781.1,2803.1,2661.0,2712.9,2718.0,6742083,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
8,ICICIBANK,1246.6,1258.0,1242.0,1246.0,1247.9,11745614,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
9,ADANIPORTS,1796.8,1823.9,1766.2,1773.4,1791.0,5622212,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.604Z
10,TCS,2252.0,2304.9,2252.0,2246.0,2267.0,3410637,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
11,KOTAKBANK,383.2,393.3,380.5,383.2,388.5,19461437,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
12,HINDALCO,1101.2,1101.2,1057.6,1103.3,1065.0,6800905,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
13,TATASTEEL,223.0,224.4,216.0,221.13,217.0,33231023,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
14,TECHM,1350.0,1387.7,1350.0,1343.4,1367.5,5306932,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
15,M&M,3170.0,3188.9,3111.0,3173.9,3128.4,2196383,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
16,AXISBANK,1259.6,1263.4,1242.0,1254.6,1245.5,4805485,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
17,SHRIRAMFIN,921.0,945.9,921.0,935.1,936.0,5759607,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
18,DRREDDY,1303.6,1344.9,1303.6,1303.6,1343.2,3982549,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
19,LT,3949.4,3949.4,3893.0,3940.4,3905.1,1339185,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
20,SUNPHARMA,1874.0,1887.9,1863.2,1863.2,1878.0,2756465,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
21,JSWSTEEL,1314.0,1314.0,1274.2,1296.9,1279.0,3871553,,,,,2026-05-15T16:00:00+00:00,2026-05-15T12:29:57.605Z
