id,symbol,type,ltp,change_pct,volume,timestamp
1,TECHM,gainer,1401.7,2.28,,2026-05-18T05:35:54.982412+00:00
2,BHARTIARTL,gainer,1932.9,1.44,,2026-05-18T05:35:54.982412+00:00
3,INFY,gainer,1131.6,1.13,,2026-05-18T05:35:54.982412+00:00
4,COALINDIA,gainer,467.2,1.08,,2026-05-18T05:35:54.982412+00:00
5,NESTLEIND,gainer,1439.2,0.61,,2026-05-18T05:35:54.982412+00:00
6,WIPRO,gainer,190.87,0.46,,2026-05-18T05:35:54.982412+00:00
7,SUNPHARMA,gainer,1886.4,0.44,,2026-05-18T05:35:54.982412+00:00
8,HCLTECH,gainer,1136.8,0.37,,2026-05-18T05:35:54.982412+00:00
9,TCS,gainer,2272.0,0.35,,2026-05-18T05:35:54.982412+00:00
10,ITC,gainer,309.65,0.06,,2026-05-18T05:35:54.982412+00:00
11,RELIANCE,gainer,1336.5,0.01,,2026-05-18T05:35:54.982412+00:00
